Var,Overall,Imp
TRANSACTION_COUNT_INPLAY,63.02210235,Y
TRANSACTION_COUNT_OUTPLAY,16.38316451,Y
TRANSACTION_COUNT_OUTPLAY_L,5.983802525,N
TRANSACTION_COUNT_OUTPLAY_C,26.9268811,Y
AVG_BET_SIZE_INPLAY,72.10888735,Y
AVG_BET_SIZE_OUTPLAY,31.41951994,Y
AVG_BET_SIZE_OUTPLAY_L,9.315055322,N
AVG_BET_SIZE_OUTPLAY_C,39.99632972,Y
MAX_BET_SIZE_INPLAY,70.32882519,Y
MAX_BET_SIZE_OUTPLAY,30.7971615,Y
MAX_BET_SIZE_OUTPLAY_L,9.330896078,N
MAX_BET_SIZE_OUTPLAY_C,39.18807067,Y
MIN_BET_SIZE_INPLAY,73.69845475,Y
MIN_BET_SIZE_OUTPLAY,31.42302363,Y
MIN_BET_SIZE_OUTPLAY_L,8.894908208,N
MIN_BET_SIZE_OUTPLAY_C,40.50203963,Y
STDEV_BET_SIZE_INPLAY,59.58796018,Y
STDEV_BET_SIZE_OUTPLAY,13.0672813,Y
STDEV_BET_SIZE_OUTPLAY_L,1.868896275,N
STDEV_BET_SIZE_OUTPLAY_C,26.27401787,Y
AVG_PLACED_TAKEN_TIME_INPLAY,37.74952677,Y
AVG_PLACED_TAKEN_TIME_OUTPLAY,22.40345963,Y
STDEV_PLACED_TAKEN_TIME_INPLAY,37.48370753,Y
STDEV_PLACED_TAKEN_TIME_OUTPLAY,22.18985583,Y
SKEW_PLACED_TAKEN_TIME_INPLAY,38.28366744,Y
SKEW_PLACED_TAKEN_TIME_OUTPLAY,21.51483152,Y
KURT_PLACED_TAKEN_TIME_INPLAY,38.2534359,Y
KURT_PLACED_TAKEN_TIME_OUTPLAY,22.26725232,Y
AVG_TAKEN_HOUR_INPLAY,21.88806678,Y
AVG_TAKEN_HOUR_OUTPLAY,25.48634877,Y
STDEV_TAKEN_HOUR_INPLAY,40.24377244,Y
STDEV_TAKEN_HOUR_OUTPLAY,30.70982647,Y
PREV_WIN_RATE_INPLAY,97.68759683,Y
PREV_WIN_RATE_OUTPLAY,84.12479102,Y
PREV_WIN_RATE,100,Y
NET_PROFIT_INPLAY,64.93924508,Y
NET_PROFIT_OUTPLAY,52.80448753,Y
MARGIN_INPLAY,69.10454053,Y
MARGIN_OUTPLAY,55.92800832,Y
CANCEL_RATIO_OUTPLAY,17.50571496,Y
INPLAY_RATIO,22.66268115,Y
COUNTRY_OF_RESIDENCE_NAMEArmen,0.025454921,N
COUNTRY_OF_RESIDENCE_NAMEAustr,3.682930297,N
COUNTRY_OF_RESIDENCE_NAMEBahra,0.034638869,N
COUNTRY_OF_RESIDENCE_NAMEBangl,0.085497236,N
COUNTRY_OF_RESIDENCE_NAMEBarba,0.01151528,N
COUNTRY_OF_RESIDENCE_NAMEBelar,0.010719075,N
COUNTRY_OF_RESIDENCE_NAMEBelgi,0.029728404,N
COUNTRY_OF_RESIDENCE_NAMEBeliz,0.079287652,N
COUNTRY_OF_RESIDENCE_NAMEBrazi,0.005527241,N
COUNTRY_OF_RESIDENCE_NAMEBulga,0.006818359,N
COUNTRY_OF_RESIDENCE_NAMECanad,0.733636366,N
COUNTRY_OF_RESIDENCE_NAMEColom,0.016171076,N
COUNTRY_OF_RESIDENCE_NAMECosta,0.011564736,N
COUNTRY_OF_RESIDENCE_NAMECroat,0.008596534,N
COUNTRY_OF_RESIDENCE_NAMECypru,2.139947884,N
COUNTRY_OF_RESIDENCE_NAMECzech,0.039294458,N
COUNTRY_OF_RESIDENCE_NAMEDomin,2.318900897,N
COUNTRY_OF_RESIDENCE_NAMEEston,0.001088712,N
COUNTRY_OF_RESIDENCE_NAMEFinla,0.058652994,N
COUNTRY_OF_RESIDENCE_NAMEGeorg,0.000137088,N
COUNTRY_OF_RESIDENCE_NAMEGerma,0,N
