,Overall
TRANSACTION_COUNT_INPLAY,77.8611262846695
TRANSACTION_COUNT_OUTPLAY,14.5092122996617
TRANSACTION_COUNT_OUTPLAY_L,2.98373808059227
TRANSACTION_COUNT_OUTPLAY_C,27.341951701533
AVG_BET_SIZE_INPLAY,95.4802015126308
AVG_BET_SIZE_OUTPLAY,37.6473855795794
AVG_BET_SIZE_OUTPLAY_L,6.47921955816751
AVG_BET_SIZE_OUTPLAY_C,43.371105991904
MAX_BET_SIZE_INPLAY,93.1261851187587
MAX_BET_SIZE_OUTPLAY,37.6335867103816
MAX_BET_SIZE_OUTPLAY_L,6.9974327373284
MAX_BET_SIZE_OUTPLAY_C,42.8064385739029
MIN_BET_SIZE_INPLAY,100
MIN_BET_SIZE_OUTPLAY,38.5573606420373
MIN_BET_SIZE_OUTPLAY_L,6.51098719522509
MIN_BET_SIZE_OUTPLAY_C,45.3876263238673
STDEV_BET_SIZE_INPLAY,75.2947182532045
STDEV_BET_SIZE_OUTPLAY,12.2611727715167
STDEV_BET_SIZE_OUTPLAY_L,0
STDEV_BET_SIZE_OUTPLAY_C,26.8581423822558
AVG_PLACED_TAKEN_TIME_INPLAY,36.4099412333005
AVG_PLACED_TAKEN_TIME_OUTPLAY,18.5351446009706
STDEV_PLACED_TAKEN_TIME_INPLAY,36.4343024089704
STDEV_PLACED_TAKEN_TIME_OUTPLAY,17.8885546542236
SKEW_PLACED_TAKEN_TIME_INPLAY,37.586634394533
SKEW_PLACED_TAKEN_TIME_OUTPLAY,17.7645463238634
KURT_PLACED_TAKEN_TIME_INPLAY,37.3959855856548
KURT_PLACED_TAKEN_TIME_OUTPLAY,19.3187299178057
AVG_TAKEN_HOUR_INPLAY,19.9879906680504
AVG_TAKEN_HOUR_OUTPLAY,24.1309093749071
STDEV_TAKEN_HOUR_INPLAY,41.638687046952
STDEV_TAKEN_HOUR_OUTPLAY,29.4959855621122
PREV_WIN_RATE_INPLAY,99.4429822962159
PREV_WIN_RATE_OUTPLAY,79.1983552885193
PREV_WIN_RATE,99.547688004539
NET_PROFIT_INPLAY,56.878028754199
NET_PROFIT_OUTPLAY,48.6447514265679
MARGIN_INPLAY,68.2091418834436
MARGIN_OUTPLAY,49.1547689753692
CANCEL_RATIO_OUTPLAY,16.2582981990456
INPLAY_RATIO,22.7818241573309
BL_RATIO_INPLAY,42.9532729520445
BL_RATIO_OUTPLAY,24.1099619442434
BL_RATIO,43.777877294268
