,Overall
TRANSACTION_COUNT_INPLAY,48.8274911477512
TRANSACTION_COUNT_OUTPLAY,12.0187914191515
TRANSACTION_COUNT_OUTPLAY_L,3.23207642822226
TRANSACTION_COUNT_OUTPLAY_C,22.2573333974154
AVG_BET_SIZE_INPLAY,75.5580700633909
AVG_BET_SIZE_OUTPLAY,32.8152438933443
AVG_BET_SIZE_OUTPLAY_L,6.25527092101179
AVG_BET_SIZE_OUTPLAY_C,33.0343944150328
MAX_BET_SIZE_INPLAY,72.8304418742057
MAX_BET_SIZE_OUTPLAY,32.7472012385816
MAX_BET_SIZE_OUTPLAY_L,6.33128593800567
MAX_BET_SIZE_OUTPLAY_C,32.3609062573266
MIN_BET_SIZE_INPLAY,76.9326117887436
MIN_BET_SIZE_OUTPLAY,33.9850056291347
MIN_BET_SIZE_OUTPLAY_L,5.95742423745262
MIN_BET_SIZE_OUTPLAY_C,35.4375730907451
STDEV_BET_SIZE_INPLAY,53.1609861596169
STDEV_BET_SIZE_OUTPLAY,11.4392747761095
STDEV_BET_SIZE_OUTPLAY_L,0
STDEV_BET_SIZE_OUTPLAY_C,20.2082131798217
AVG_PLACED_TAKEN_TIME_INPLAY,36.9016360317177
AVG_PLACED_TAKEN_TIME_OUTPLAY,19.9162252737484
STDEV_PLACED_TAKEN_TIME_INPLAY,36.6326357019443
STDEV_PLACED_TAKEN_TIME_OUTPLAY,19.2934424622982
SKEW_PLACED_TAKEN_TIME_INPLAY,38.208559202426
SKEW_PLACED_TAKEN_TIME_OUTPLAY,18.9824576167328
KURT_PLACED_TAKEN_TIME_INPLAY,37.9205829545726
KURT_PLACED_TAKEN_TIME_OUTPLAY,20.8209385254076
AVG_TAKEN_HOUR_INPLAY,19.7676238662681
AVG_TAKEN_HOUR_OUTPLAY,24.5307352975749
STDEV_TAKEN_HOUR_INPLAY,41.8402875882782
STDEV_TAKEN_HOUR_OUTPLAY,30.7649664339178
PREV_WIN_RATE_INPLAY,100
PREV_WIN_RATE_OUTPLAY,89.667733796437
PREV_WIN_RATE,94.7682031355969
NET_PROFIT_INPLAY,59.6927127693805
NET_PROFIT_OUTPLAY,49.9867392183666
MARGIN_INPLAY,66.5615354495826
MARGIN_OUTPLAY,50.9714812415415
CANCEL_RATIO_OUTPLAY,13.8939112443758
INPLAY_RATIO,18.78493914152
BL_RATIO_INPLAY,43.328046596431
BL_RATIO_OUTPLAY,25.6667710477161
BL_RATIO,45.2468059960194
BL_DIFF_TRANSACTION_COUNT_IN,36.3767594262062
BL_DIFF_AVG_BET_SIZE_IN,47.1941666923148
BL_DIFF_MAX_BET_SIZE_IN,42.9353949253576
BL_DIFF_MIN_BET_SIZE_IN,37.934911363695
BL_DIFF_STDEV_BET_SIZE_IN,30.7592278017174
BL_DIFF_TRANSACTION_COUNT_OUT,1.36827160642063
BL_DIFF_AVG_BET_SIZE_OUT,8.91696242225225
BL_DIFF_MAX_BET_SIZE_OUT,8.51595992751102
BL_DIFF_MIN_BET_SIZE_OUT,8.32976659876229
BL_DIFF_STDEV_BET_SIZE_OUT,4.25797104540466
